student_id,job_id,is_match,gender,region,background,company_size,years_exp,gpa,num_projects,internships,certifications,salary_min,salary_max,required_exp_min,required_exp_max,required_gpa_min,urgency_level,python_match,javascript_match,sql_match,aws_match,total_score
1,54,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,368354,1434233,3,14,5.502174039609865,Medium,0.5,0.0,0.0,0.25,62.29803921568627
1,100,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,460429,925075,4,8,6.195331341517733,Medium,0.0,0.25,0.0,0.5,66.57091503267974
1,71,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,453805,934467,2,13,7.018212796598185,Low,0.0,0.5,0.25,0.0,57.43692810457516
1,38,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,320355,1474075,2,13,6.5875969896092155,High,0.25,0.5,0.0,0.75,56.09705882352941
1,65,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,330514,1345225,0,11,6.687594918830851,Low,0.25,0.25,0.0,0.75,55.467973856209156
1,8,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,494827,948125,1,9,5.739786774289747,Low,0.5,0.25,0.75,0.75,56.90588235294118
1,64,0,F,Tier2,Mechanical,Startup,7,7.151561032351317,0,3,2,437898,1392063,3,11,6.001784752707702,High,0.25,0.5,0.0,0.5,60.304575163398695
1,83,0,F,Tier2,Mechanical,Startup,7,7.151561032351317,0,3,2,237403,911493,3,14,7.285201579455081,High,0.5,0.0,0.85,0.0,60.809228661258146
1,70,1,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,309097,658334,2,10,6.565780656783198,Low,0.5,0.5,0.0,0.0,54.10359477124183
1,69,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,215305,1227761,4,8,7.263088900811864,Low,0.5,0.5,0.75,0.85,68.62153558498134
1,39,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,270047,1182992,0,7,6.841917802087105,High,0.0,0.5,0.0,0.0,53.86666666666666
1,53,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,566074,842282,2,7,6.659315927352632,Medium,0.25,0.0,0.75,0.0,62.70925925925927
1,68,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,441348,1169494,3,14,6.773060618827968,Medium,0.5,0.0,0.75,0.75,67.85359477124183
1,42,0,F,Tier2,Mechanical,Large,7,7.151561032351317,0,3,2,215668,979518,3,13,6.676615538761181,Medium,0.5,0.5,0.75,0.25,62.703267973856214
1,6,1,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,496699,1455612,4,7,6.374978881726266,Low,0.5,0.0,0.0,0.5,68.40098039215685
1,48,0,F,Tier2,Mechanical,Startup,7,7.151561032351317,0,3,2,329354,1170986,1,6,6.19614074172228,Low,0.25,0.5,0.0,0.25,54.27516339869281
1,63,0,F,Tier2,Mechanical,SME,7,7.151561032351317,0,3,2,335064,1090847,2,12,6.176287076448393,High,0.0,0.0,0.5,0.75,59.28877995642702
1,56,1,F,Tier2,Mechanical,Startup,7,7.151561032351317,0,3,2,259739,802929,4,10,6.640475929154096,Medium,0.5,0.5,0.0,0.85,71.01535947712419
1,98,0,F,Tier2,Mechanical,Startup,7,7.151561032351317,0,3,2,496867,974557,0,12,6.117584059601192,Medium,0.0,0.25,0.0,0.75,53.47450980392158
